,Opening Balance,,,Inwards,,,Outwards,,,,,,,Closing Balance,,
, Quantity , Rate , Value , Quantity , Rate , Value , Quantity , Rate , Value , Gross Value , Consumption , Gross Profit ,Perc %, Quantity , Rate , Value 
155R12C ATL,  300 ,"  3,100 ","  930,000 ",,,,  149 ,"  3,130 ","  466,300 ","  466,300 ","  461,900 ","  4,400 ",0.94 %,  151 ,"  3,100 ","  468,100 "
175/70R13 GREEN ATL,  290 ,"  3,000 ","  870,000 ",,,,  46 ,"  3,026 ","  139,200 ","  139,200 ","  138,000 ","  1,200 ",0.86 %,  244 ,"  3,000 ","  732,000 "
175/70R14 ATL,  186 ,"  3,100 ","  576,600 ",,,,  67 ,"  3,131 ","  209,800 ","  209,800 ","  207,700 ","  2,100 ",1.00 %,  119 ,"  3,100 ","  368,900 "
175R13C ATL,  686 ,"  4,000 ","  2,744,000 ",,,,  99 ,"  3,992 ","  395,200 ","  395,200 ","  396,000 ",  (800),-0.20 %,  587 ,"  4,000 ","  2,348,000 "
185/65R15 GREEN ATL,  297 ,"  4,000 ","  1,188,000 ",,,,  33 ,"  4,018 ","  132,600 ","  132,600 ","  132,000 ",  600 ,0.45 %,  264 ,"  4,000 ","  1,056,000 "
185/70R13 ATL,  954 ,"  3,200 ","  3,052,800 ",,,,  944 ,"  3,139 ","  2,963,400 ","  2,963,400 ","  3,020,800 ","  (57,400)",-1.94 %,  10 ,"  3,200 ","  32,000 "
185/70R14 GREEN ATL,  718 ,"  3,400 ","  2,441,200 ",,,,  713 ,"  3,270 ","  2,331,800 ","  2,331,800 ","  2,424,200 ","  (92,400)",-3.96 %,  5 ,"  3,400 ","  17,000 "
185/70R14 LMA3 INF,,,,  896 ,"  3,400 ","  3,046,400 ",  449 ,"  3,401 ","  1,527,200 ","  1,527,200 ","  1,526,600 ",  600 ,0.04 %,  447 ,"  3,400 ","  1,519,800 "
185R14C  ATL,,,,  300 ,"  4,800 ","  1,440,000 ",  23 ,"  4,591 ","  105,600 ","  105,600 ","  110,400 ","  (4,800)",-4.55 %,  277 ,"  4,800 ","  1,329,600 "
195/65R15 ATL,  508 ,"  4,200 ","  2,133,600 ",  840 ,"  4,000 ","  3,360,000 ",  740 ,"  4,014 ","  2,970,000 ","  2,970,000 ","  3,015,774 ","  (45,774)",-1.54 %,  608 ,"  4,075 ","  2,477,826 "
